# t    Ek    Ep    Etot
2.30000000000000e-01 9.11415584216134e+00 -1.65261970348608e+02 -1.56147814506447e+02
2.40000000000000e-01 1.00457211185358e+01 -1.66193366777832e+02 -1.56147645659296e+02
2.50000000000000e-01 1.10395329928703e+01 -1.67187013388868e+02 -1.56147480395998e+02
2.60000000000000e-01 1.20984104816100e+01 -1.68245736649209e+02 -1.56147326167599e+02
2.70000000000000e-01 1.32250692254144e+01 -1.69372262811585e+02 -1.56147193586170e+02
2.80000000000000e-01 1.44219795440719e+01 -1.70569077111875e+02 -1.56147097567803e+02
2.90000000000000e-01 1.56911658494507e+01 -1.71838224706966e+02 -1.56147058857516e+02
3.00000000000000e-01 1.70339267777023e+01 -1.73181032824031e+02 -1.56147106046329e+02
3.10000000000000e-01 1.84504489239466e+01 -1.74597727130783e+02 -1.56147278206837e+02
3.20000000000000e-01 1.99392790727643e+01 -1.76086907348889e+02 -1.56147628276124e+02
3.30000000000000e-01 2.14966104448004e+01 -1.77644837727903e+02 -1.56148227283102e+02
3.40000000000000e-01 2.31153284308155e+01 -1.79264497843549e+02 -1.56149169412733e+02
3.50000000000000e-01 2.47837524459043e+01 -1.80934330097174e+02 -1.56150577651270e+02
3.60000000000000e-01 2.64840070407865e+01 -1.82636616283537e+02 -1.56152609242750e+02
3.70000000000000e-01 2.81899654361060e+01 -1.84345424644794e+02 -1.56155459208688e+02
3.80000000000000e-01 2.98647472814116e+01 -1.86024105727042e+02 -1.56159358445630e+02
3.90000000000000e-01 3.14578457171570e+01 -1.87622405765479e+02 -1.56164560048322e+02
4.00000000000000e-01 3.29021483718784e+01 -1.89073451591953e+02 -1.56171303220075e+02
4.10000000000000e-01 3.41114623872472e+01 -1.90291201099676e+02 -1.56179738712428e+02
4.20000000000000e-01 3.49797244930302e+01 -1.91169519744171e+02 -1.56189795251140e+02
4.30000000000000e-01 3.53839159949360e+01 -1.91584885033780e+02 -1.56200969038844e+02
4.40000000000000e-01 3.51937254353553e+01 -1.91405767138644e+02 -1.56212041703289e+02
4.50000000000000e-01 3.42917986219917e+01 -1.90512596435366e+02 -1.56220797813374e+02
4.60000000000000e-01 3.26079625279746e+01 -1.88831902365101e+02 -1.56223939837127e+02
4.70000000000000e-01 3.01673102648442e+01 -1.86384868582678e+02 -1.56217558317834e+02
4.80000000000000e-01 2.71546759766469e+01 -1.83351676196911e+02 -1.56197000220265e+02
4.90000000000000e-01 2.39301747408989e+01 -1.80095622468858e+02 -1.56165447727959e+02
5.00000000000000e-01 2.10150590095318e+01 -1.77141943947949e+02 -1.56126884938417e+02
5.10000000000000e-01 1.90233126924253e+01 -1.75115580796170e+02 -1.56092268103744e+02
5.20000000000000e-01 1.84887751683592e+01 -1.74562714119211e+02 -1.56073938950852e+02
5.30000000000000e-01 1.96899133272677e+01 -1.75768923556245e+02 -1.56079010228978e+02
5.40000000000000e-01 2.25507108041880e+01 -1.78655685620993e+02 -1.56104974816804e+02
5.50000000000000e-01 2.66750348919618e+01 -1.82816382392488e+02 -1.56141347500526e+02
5.60000000000000e-01 3.14932171781067e+01 -1.87669107207659e+02 -1.56175890029552e+02
5.70000000000000e-01 3.64386756551352e+01 -1.92639068527815e+02 -1.56200392872679e+02
5.80000000000000e-01 4.10744843469281e+01 -1.97287140275327e+02 -1.56212655928399e+02
5.90000000000000e-01 4.51376361327649e+01 -2.01352768569769e+02 -1.56215132437004e+02
6.00000000000000e-01 4.85150147096034e+01 -2.04727543877828e+02 -1.56212529168225e+02
6.10000000000000e-01 5.11830305299235e+01 -2.07393095500182e+02 -1.56210064970258e+02
6.20000000000000e-01 5.31368063996628e+01 -2.09349636894761e+02 -1.56212830495098e+02
6.30000000000000e-01 5.43207741569824e+01 -2.10546671999067e+02 -1.56225897842084e+02
6.40000000000000e-01 5.45625549300124e+01 -2.10817027852562e+02 -1.56254472922549e+02
6.50000000000000e-01 5.35125600645849e+01 -2.09815505096616e+02 -1.56302945032031e+02
6.60000000000000e-01 5.06100321028794e+01 -2.06980770321548e+02 -1.56370738218668e+02
6.70000000000000e-01 4.51439949661814e+01 -2.01585997099993e+02 -1.56442002133811e+02
6.80000000000000e-01 3.65553651794305e+01 -1.93025344048501e+02 -1.56469978869070e+02
